madde,anlam,lisan,telaffuz
ağzında bakla ıslanmamak,sır saklamamak,,
ağzında büyümek,sevmediğinden veya içi almadığından bir yiyeceği yutamamak,,
ağzında çalkalanmak,üzerinde çok konuşulmak,,
ağzında gevelemek,açıkça söylememek,,
ağzında yaş kalmamak,bir düşüncesini bir kimseye birçok kez söylemiş olmak,,
ağzının içine bakmak,ne söyleyeceğini beklemek | onun sözüne göre davranmak,,
ağzının içine baktırmak,sözlerini seve seve ve dikkatle dinletmek,,
ağzının içine girmek,"çok yanaşmak, iyice sokulmak | hayranlıkla, büyük bir zevkle seyredip dinlemek",,
ağzının içi yangın yerine dönmek,"ağzının tadı bozulmak, tat alma duyusunu yitirmek",,
ağzının kaşığı (veya kalıbı veya lokması) olmamak,"bir şey, bir kimsenin uğraşabileceği konulardan olmamak | bir şey, bir kimsenin sözünü edemeyeceği kadar değerli olmak",,
ağzının kokusunu çekmek,"birinin her türlü isteğine, kaprisine boyun eğmek",,
ağzının kokusunu çekmek,bir kimsenin çekilmez davranışlarına katlanmak,,
ağzının kâhyası olmak,"birinin alışkanlıklarına, davranışlarına, düzenine karışmak",,
ağzının payını (veya ölçüsünü veya kayarını) vermek,verilen karşılıkla bir kimseyi söylediğine veya yaptığına pişman etmek,,
ağzının payını (veya ölçüsünü) almak,verilen karşılıkla bir kimseye söylediğine veya yaptığına pişman olmak,,
ağzının suyu akmak,"çok beğenip istemek, imrenmek",,
ağzının tadını bilmek,"güzel yemeklerden anlamak | her şeyin güzelini, iyisini bilmek, anlamak",,
ağzının tadını kaçırmak,"neşesini, keyfini bozmak | bir kimsenin kurulu düzenini bozmak",,
ağzını açıp gözünü yummak,"öfke ile, sonunu düşünmeden ağzına gelen bütün ağır sözleri söylemek",,
ağzını bağlamak,"bir kimseyi herhangi bir sebeple söz söyleyemez duruma getirmek, susmak zorunda bırakmak",,
ağzını bıçak açmamak,üzüntüden söz söyleyemeyecek durumda olmak,,
ağzını bırakıp kıçıyla (veya bir tarafıyla) gülmek,alay ederek karşısındakine gülmek,,
ağzını bozmak,"kaba sözler söylemek, küfretmek",,
ağzını burnunu çarşamba pazarına (veya çanağına) çevirmek,aşırı bir biçimde döverek perişan duruma getirmek,,
ağzını dilini bağlamak,birini konuşamaz duruma getirmek,,
ağzını havaya (veya poyraza) açmak,umduğunu elde edememek,,
ağzını kapamak,kendisine çıkar sağlaması için bir kimseyi susturmak,,
ağzını kiraya vermek,kendini de ilgilendiren bir konuda düşüncesini söylememek,,
ağzını koklamak,niyetini ve durumunu öğrenmek istemek,,
ağzını mühürlemek,"konuşmamak, susmak",,
ağzını sıkı (veya pek) tutmak,sır vermemek,,
ağzını tıkamak,"sözünü kesmek, susturmak",,
ağzını toplamak,söylemekte olduğu kötü söz veya küfürleri kesmek,,
ağzını tutmak,boşboğazlık etmemek | kötü söz söylememek | bir konuda arzu edilmeyen düşüncelerin açığa çıkmasını susarak önlemek,,
ağzıyla içmesini bilmek,"sözünü, sohbetini karşıdaki kişiyi incitmeyecek bir biçimde ayarlamak",,
ağzı açık (veya bir karış açık) kalmak,"çok şaşırmak, şaşakalmak",,
ağzı çirişçi çanağına dönmek,ağzı kuruyup acılaşmak,,
ağzı dili bağlanmak,herhangi bir sebeple konuşamaz olmak,,
ağzı dili tutulmak,"konuşamamak | beklenmedik bir durum karşısında heyecanlanmak, hayranlık duymak",,
ağzı dolu dolu konuşmak,heyecanlı söz söylemek,,
ağzı kilitlenmek,konuşamaz duruma gelmek,,
